There is 17 cells and 15 mutations.
ROOT:11
step:  1,	mode:swap_subtrees,	new_error:7.50,	last_error:7.30,	acc_prob:0.198
step:  2,	mode:prune_reattach,	new_error:7.10,	last_error:7.10,	acc_prob:1.000
step:  3,	mode:prune_reattach,	new_error:7.10,	last_error:7.10,	acc_prob:1.000
step:  4,	mode:prune_reattach,	new_error:6.50,	last_error:6.50,	acc_prob:1.000
step:  5,	mode:swap_subtrees,	new_error:6.40,	last_error:6.40,	acc_prob:1.000
step:  6,	mode:prune_reattach,	new_error:6.20,	last_error:6.20,	acc_prob:1.000
step:  7,	mode:swap_subtrees,	new_error:6.10,	last_error:6.10,	acc_prob:1.000
step:  8,	mode:swap_nodes,	new_error:6.10,	last_error:6.10,	acc_prob:1.000
step:  9,	mode:swap_nodes,	new_error:6.10,	last_error:6.10,	acc_prob:1.000
step: 10,	mode:swap_nodes,	new_error:6.00,	last_error:6.00,	acc_prob:1.000
step: 11,	mode:swap_nodes,	new_error:6.70,	last_error:6.00,	acc_prob:0.000
step: 12,	mode:swap_nodes,	new_error:6.00,	last_error:6.00,	acc_prob:1.000
step: 13,	mode:swap_nodes,	new_error:6.40,	last_error:6.00,	acc_prob:0.000
step: 14,	mode:swap_nodes,	new_error:6.00,	last_error:6.00,	acc_prob:1.000
step: 15,	mode:swap_nodes,	new_error:5.00,	last_error:5.00,	acc_prob:1.000
step: 16,	mode:swap_subtrees,	new_error:5.30,	last_error:5.00,	acc_prob:0.030
step: 17,	mode:swap_subtrees,	new_error:6.10,	last_error:5.00,	acc_prob:0.000
step: 18,	mode:swap_subtrees,	new_error:5.30,	last_error:5.00,	acc_prob:0.030
step: 19,	mode:prune_reattach,	new_error:5.00,	last_error:5.00,	acc_prob:1.000
step: 20,	mode:prune_reattach,	new_error:5.30,	last_error:5.00,	acc_prob:0.030
step: 21,	mode:prune_reattach,	new_error:5.00,	last_error:5.00,	acc_prob:1.000
step: 22,	mode:prune_reattach,	new_error:4.30,	last_error:4.30,	acc_prob:1.000
step: 23,	mode:swap_subtrees,	new_error:6.10,	last_error:4.30,	acc_prob:0.000
step: 24,	mode:swap_nodes,	new_error:5.90,	last_error:4.30,	acc_prob:0.000
step: 25,	mode:swap_nodes,	new_error:4.50,	last_error:4.30,	acc_prob:0.000
step: 26,	mode:swap_nodes,	new_error:5.30,	last_error:4.30,	acc_prob:0.000
step: 27,	mode:swap_nodes,	new_error:5.30,	last_error:4.30,	acc_prob:0.000
step: 28,	mode:swap_nodes,	new_error:6.80,	last_error:4.30,	acc_prob:0.000
step: 29,	mode:swap_nodes,	new_error:4.50,	last_error:4.30,	acc_prob:0.000
step: 30,	mode:swap_nodes,	new_error:4.30,	last_error:4.30,	acc_prob:1.000
step: 31,	mode:swap_nodes,	new_error:4.50,	last_error:4.30,	acc_prob:0.000
step: 32,	mode:swap_subtrees,	new_error:4.30,	last_error:4.30,	acc_prob:1.000
step: 33,	mode:prune_reattach,	new_error:4.30,	last_error:4.30,	acc_prob:1.000
step: 34,	mode:prune_reattach,	new_error:4.30,	last_error:4.30,	acc_prob:1.000
step: 35,	mode:prune_reattach,	new_error:5.70,	last_error:4.30,	acc_prob:0.000
step: 36,	mode:swap_subtrees,	new_error:4.20,	last_error:4.20,	acc_prob:1.000
step: 37,	mode:swap_subtrees,	new_error:4.20,	last_error:4.20,	acc_prob:1.000
step: 38,	mode:prune_reattach,	new_error:4.20,	last_error:4.20,	acc_prob:1.000
step: 39,	mode:prune_reattach,	new_error:4.80,	last_error:4.20,	acc_prob:0.000
step: 40,	mode:swap_nodes,	new_error:4.20,	last_error:4.20,	acc_prob:1.000
step: 41,	mode:swap_nodes,	new_error:4.30,	last_error:4.20,	acc_prob:0.000
step: 42,	mode:swap_nodes,	new_error:5.40,	last_error:4.20,	acc_prob:0.000
step: 43,	mode:swap_nodes,	new_error:4.20,	last_error:4.20,	acc_prob:1.000
step: 44,	mode:swap_nodes,	new_error:4.60,	last_error:4.20,	acc_prob:0.000
step: 45,	mode:swap_nodes,	new_error:4.30,	last_error:4.20,	acc_prob:0.000
step: 46,	mode:swap_nodes,	new_error:5.90,	last_error:4.20,	acc_prob:0.000
step: 47,	mode:swap_nodes,	new_error:4.50,	last_error:4.20,	acc_prob:0.000
step: 48,	mode:prune_reattach,	new_error:2.80,	last_error:2.80,	acc_prob:1.000
